1,Private flight,(Unknown),-,N/A,"","",Y
2,135 Airways,(Unknown),"",GNL,GENERAL,United States,N
3,1Time Airline,(Unknown),1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,(Unknown),"",WYT,"",United Kingdom,N
5,213 Flight Unit,(Unknown),"",TFU,"",Russia,N
6,223 Flight Unit State Airline,(Unknown),"",CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,(Unknown),"",TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,(Unknown),"",TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,(Unknown),"",SEC,SECUREX,United States,N
10,40-Mile Air,(Unknown),Q5,MLA,MILE-AIR,United States,Y
11,4D Air,(Unknown),"",QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,(Unknown),"",THD,DONUT,Canada,N
13,Ansett Australia,(Unknown),AN,AAA,ANSETT,Australia,Y
14,Abacus International,(Unknown),1B,"","",Singapore,Y
15,Abelag Aviation,(Unknown),W9,AAB,ABG,Belgium,N
16,Army Air Corps,(Unknown),"",AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,(Unknown),"",AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,(Unknown),"",SII,ASEISA,Mexico,N
19,Aero Biniza,(Unknown),"",BZS,BINIZA,Mexico,N
20,Aero Albatros,(Unknown),"",ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,(Unknown),ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,(Unknown),AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,(Unknown),"",AAK,ALASKA ISLAND,United States,N
24,American Airlines,(Unknown),AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,(Unknown),"",AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),(Unknown),"",AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,(Unknown),"",AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,(Unknown),OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,(Unknown),4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,(Unknown),"",AAU,AUSTASIA,Australia,N
31,Astro Air International,(Unknown),"",AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,(Unknown),8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,(Unknown),Q9,AFU,"",Gambia,N
34,Afric'air Express,(Unknown),"",AAX,AFREX,Ivory Coast,N
35,Allegiant Air,(Unknown),G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,(Unknown),"",AAZ,ANGUS,Canada,N
37,Artem-Avia,(Unknown),"",ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,(Unknown),"",ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,(Unknown),K5,ABE,ABAN,Iran,n
40,Aerial Oy,(Unknown),"",ABF,SKYWINGS,Finland,N
41,Abakan-Avia,(Unknown),"",ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,(Unknown),M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,(Unknown),"",ABJ,Abaet,Brazil,N
44,Alberta Citylink,(Unknown),"",ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,(Unknown),"",ABO,AEROEXPRESO,Colombia,N
